property_type,sector,balcony,agePossession,luxury_category,floor_category,facing,bedRoom,bathroom,built_up_area,servant room,store room,furnishing_type,price
flat,sector 81,3+,Relatively New,Class A,Middle Floor,North-East,4,5,2580.0,1,0,2,3.5
flat,sector 102,3,Relatively New,Class C,Middle Floor,North-East,3,3,1316.0,1,0,1,1.54
flat,sohna road,2,Under Construction,Class D,Middle Floor,North-West,2,2,996.0,0,0,1,0.48
ind-house,laxman vihar phase 2,1,Moderately Old,Class D,Low Floor,East,2,1,624.0,0,1,1,0.47
flat,sohna road,1,Relatively New,Class D,Middle Floor,East,2,2,517.0,0,0,1,0.24
flat,sector 79,3,Relatively New,Class B,Middle Floor,South,3,3,1322.0,0,0,0,1.2
flat,sector 85,3,Relatively New,Class D,Middle Floor,West,2,2,1670.0,0,0,1,1.19
flat,sector 84,3,Relatively New,Class D,Middle Floor,South,4,4,3222.0,1,0,1,2.2
flat,sector 69,3+,Relatively New,Class A,Low Floor,North-East,4,5,2200.0,1,0,1,1.8
flat,sector 95a,2,New Property,Class D,Low Floor,East,2,2,571.0,0,0,1,0.4
flat,sector 63,3+,Moderately Old,Class C,Middle Floor,North-West,3,4,1557.0,0,0,0,2.2
flat,sector 67,3+,Relatively New,Class A,High Floor,South-West,3,3,2031.0,1,0,0,3.05
flat,sector 69,1,Relatively New,Class A,Low Floor,West,2,3,1500.0,0,0,1,1.19
flat,sector 47,3+,Moderately Old,Class B,Middle Floor,East,3,4,1918.0,1,0,1,2.4
flat,sector 69,2,Relatively New,Class A,Middle Floor,West,4,4,1744.0,0,1,1,1.9
flat,sohna road,2,New Property,Class D,Middle Floor,West,2,2,4986.0,0,0,1,2.6
flat,sector 52,3+,Moderately Old,Class C,Low Floor,East,5,7,5778.0,1,0,1,5.0
flat,sector 90,3,Relatively New,Class C,High Floor,North-East,3,3,1559.0,0,0,1,1.25
ind-house,sector 48,3,Moderately Old,Class D,Low Floor,North-East,7,7,2340.0,0,0,0,5.0
ind-house,palam vihar extension,3+,Moderately Old,Class D,Low Floor,North,3,7,1215.0,0,0,1,1.0
flat,sector 65,3,Relatively New,Class B,Middle Floor,North-West,3,3,1650.0,1,1,0,2.7
flat,sector 65,3,Relatively New,Class C,Middle Floor,North,3,3,2821.0,1,0,0,4.95
flat,sector 106,3,Relatively New,Class A,Middle Floor,East,3,4,1305.0,1,0,1,1.25
ind-house,sector 7,2,Moderately Old,Class D,Low Floor,North-East,2,4,1102.0,0,0,1,1.16
flat,sector 81,1,Relatively New,Class B,Middle Floor,North,1,1,367.0,0,0,2,0.31
ind-house,sector 49,3,Moderately Old,Class D,Low Floor,East,3,3,2000.0,1,1,1,4.05
flat,sector 113,3+,New Property,Class C,Middle Floor,East,3,3,2010.0,1,0,1,2.85
flat,sector 79,3+,New Property,Class C,Middle Floor,East,3,4,1660.0,1,0,1,1.7
flat,sector 106,3+,Relatively New,Class D,Middle Floor,South-East,4,5,1535.0,1,0,1,1.34
flat,sector 86,2,Old Property,Class D,Middle Floor,East,2,2,573.0,0,0,1,0.5
flat,sector 77,2,Relatively New,Class B,Middle Floor,North-West,2,2,1058.0,0,0,1,0.71
flat,sohna road,0,Under Construction,Class C,Low Floor,North-East,3,2,1120.0,0,0,1,0.9
flat,sector 37d,3,New Property,Class D,Middle Floor,South-East,2,2,626.0,0,0,1,0.6
flat,sector 110 a,3,Relatively New,Class B,Middle Floor,North,3,3,1550.0,0,0,0,1.4
ind-house,sector 17,3,Relatively New,Class D,Low Floor,West,8,8,4050.0,0,0,0,9.5
flat,sector 74,2,New Property,Class A,High Floor,North-East,2,2,1291.0,0,0,0,1.4
flat,sector 70a,3+,Relatively New,Class B,Low Floor,West,3,3,1342.0,0,0,1,0.97
flat,sector 69,2,Relatively New,Class B,Low Floor,West,3,3,1431.0,0,0,0,1.55
flat,sector 79,3+,Relatively New,Class D,High Floor,North,3,3,1656.0,0,0,0,1.25
flat,sector 89,2,Under Construction,Class D,Low Floor,North-East,2,2,1103.0,0,0,1,1.05
flat,sector-33 sohna,2,Under Construction,Class C,Low Floor,North-East,2,2,85.0,0,0,1,1.31
flat,sector 83,2,Relatively New,Class B,Low Floor,West,3,3,1795.0,1,0,1,1.25
ind-house,sector 26,3+,Relatively New,Class C,Low Floor,West,5,7,4500.0,1,0,2,20.0
flat,sector 1a imt manesar,3+,Moderately Old,Class D,Middle Floor,North-East,3,3,2073.0,1,0,1,0.9
ind-house,sector 50,3+,Moderately Old,Class A,Low Floor,North,5,7,3240.0,1,0,0,10.45
flat,sector 85,2,Relatively New,Class D,High Floor,North-West,3,3,1825.0,0,0,1,1.75
flat,sector 92,2,New Property,Class D,High Floor,East,3,2,1177.0,0,0,1,0.79
flat,sector 31,2,Old Property,Class D,Low Floor,West,2,2,1200.0,0,0,1,1.25
